"ID","sex","birthday","natalPride","lastSeenDate","lastSeenStatus","deathOccasion","captureOccasion","captureDate","captureBegin","captureNorth","captureEast","season","year","habitat","habitatCode","age","stage","stageNb","group","survival","reproduction","reproStage","cubs","nb_af_pride","coal_size","nb_nm_coal_hr"
"ID104","M","1983-09-15","CS","1985-07-31",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,15,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID105","M","1983-09-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,15,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID106","M","1983-11-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID107","F","1983-09-15","CS","1992-04-14",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,15,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID108","F","1983-11-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID109","M","1983-09-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,15,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID110","M","1983-11-15","CS","1986-04-13",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID111","M","1983-11-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID112","M","1983-11-15","CS","1986-08-26",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID114","F","1984-01-15","CS","1986-05-05",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,11,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID118","F","1984-01-15","CS","1985-09-02",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,11,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID124","F","1984-01-15","CS","1989-04-04","D",10,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,11,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID125","M","1983-11-15","CS","1986-09-01",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,13,"SA1",1,"GRP46",1,NA,NA,NA,11,NA,0
"ID126","F","1984-02-15","CS","1985-09-02",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,10,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID127","F","1984-02-15","CS","1986-09-01",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,10,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID128","F","1984-02-15","CS","1987-10-26",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,10,"J",12,"GRP46",1,NA,NA,NA,11,NA,0
"ID175","F","1977-11-15","CS","1991-06-08",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,85,"AF",3,"GRP46",1,1,"NR",NA,11,NA,0
"ID179","F","1980-10-15","CS","1985-10-21",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,50,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID180","F","1980-10-15","CS","1991-03-07",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,50,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID93","F","1973-09-15","CS","1985-10-15","D",3,1,"1984-11-15","08:00:00",9731900,701400,"wet",1985,"grassland",0,135,"AF",3,"GRP46",1,NA,"NR",0,11,NA,0
"ID176","F","1980-02-15","CS","1992-08-07",NA,NA,1,"1984-11-15","08:00:00",9731900,701400,"wet",1985,"woodland",1,58,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID177","F","1980-09-15","CS","1998-03-25",NA,NA,1,"1984-11-15","08:00:00",9731900,701400,"wet",1985,"grassland",0,51,"AF",3,"GRP46",1,1,"NR",0,11,NA,0
"ID97","F","1981-04-15","CS","1989-06-16",NA,NA,1,"1984-11-15","08:00:00",9732400,706100,"wet",1985,"woodland",1,44,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID235","M","1975-07-15","UNK","1985-12-26",NA,NA,1,"1984-11-15","10:10:00",9689300,736100,"wet",1985,"grassland",0,113,"RM",9,"GRP64",1,NA,NA,NA,4,3,2
"ID271","M","1976-01-15","UNK","1985-03-04","D",2,1,"1984-11-15","10:10:00",9689300,736100,"wet",1985,"grassland",0,107,"RM",9,"GRP64",0,NA,NA,NA,4,3,2
"ID265","F","1976-04-15","GO","1991-06-06",NA,NA,1,"1984-11-15","09:00:00",9696100,733500,"wet",1985,"grassland",0,104,"AF",3,"GRP84",1,0,"NR",NA,4,NA,0
"ID266","F","1976-06-15","GO","1991-03-13",NA,NA,1,"1984-11-15","18:25:00",9696500,732000,"wet",1985,"grassland",0,102,"AF",3,"GRP84",1,0,"NR",NA,4,NA,0
"ID264","F","1976-04-15","GO","1991-10-21",NA,NA,1,"1984-11-15","18:40:00",9697000,729800,"wet",1985,"grassland",0,104,"AF",3,"GRP84",1,0,"NR",NA,4,NA,0
"ID782","M","1975-07-15","UNK","1984-12-04",NA,NA,1,"1984-11-15","07:05:00",9698900,729000,"wet",1985,"grassland",0,113,"RM",9,"GRP64",0,NA,NA,NA,4,3,2
"ID263","F","1972-03-15","GO","1986-11-10",NA,NA,1,"1984-11-15","07:05:00",9698900,729000,"wet",1985,"grassland",0,153,"AF",3,"GRP84",1,0,"NR",NA,4,NA,0
"ID255","F","1983-04-15","GW","1987-11-30","D",8,1,"1984-11-15","16:15:00",9700700,726300,"wet",1985,"grassland",0,20,"SA2",2,"GRP93",1,NA,NA,NA,2,NA,0
"ID256","F","1983-12-15","GW","1992-03-04",NA,NA,1,"1984-11-15","16:15:00",9700700,726300,"wet",1985,"grassland",0,12,"SA1",1,"GRP93",1,NA,NA,NA,2,NA,0
"ID257","F","1983-12-15","GW","2001-09-07","D",35,1,"1984-11-15","16:15:00",9700700,726300,"wet",1985,"grassland",0,12,"SA1",1,"GRP93",1,NA,NA,NA,2,NA,0
"ID267","F","1972-03-15","GO","1985-08-10",NA,NA,1,"1984-11-15","16:15:00",9700700,726300,"wet",1985,"grassland",0,153,"AF",3,"GRP93",1,0,"NR",NA,2,NA,0
"ID268","F","1974-03-15","GO","1986-11-10","D",5,1,"1984-11-15","16:15:00",9700700,726300,"wet",1985,"grassland",0,129,"AF",3,"GRP93",1,1,"NR",0,2,NA,0
"ID439","M","1984-06-15","K2","1985-12-24",NA,NA,1,"1984-11-15","08:20:00",9725000,713700,"wet",1985,"woodland",1,6,"J",12,"GRP116",1,NA,NA,NA,2,NA,0
"ID440","F","1984-06-15","K2","1985-10-06",NA,NA,1,"1984-11-15","08:20:00",9725000,713700,"wet",1985,"woodland",1,6,"J",12,"GRP116",1,NA,NA,NA,2,NA,0
"ID441","F","1984-06-15","K2","1992-12-27",NA,NA,1,"1984-11-15","08:20:00",9725000,713700,"wet",1985,"woodland",1,6,"J",12,"GRP116",1,NA,NA,NA,2,NA,0
"ID474","F","1982-06-15","KB","1989-01-13",NA,NA,1,"1984-11-15","08:05:00",9717400,714600,"wet",1985,"grassland",0,30,"AF",3,"GRP116",1,0,"NR",NA,2,NA,0
"ID479","F","1982-03-15","KB","1992-02-25",NA,NA,1,"1984-11-15","08:05:00",9717400,714600,"wet",1985,"grassland",0,33,"AF",3,"GRP116",1,0,"NR",NA,2,NA,0
"ID480","M","1982-03-15","KB","1989-12-13",NA,NA,1,"1984-11-15","08:05:00",9717400,714600,"wet",1985,"grassland",0,33,"NM",8,"GRP130",1,NA,NA,NA,NA,1,NA
"ID481","M","1982-03-15","KB","1985-03-23",NA,NA,1,"1984-11-15","08:05:00",9717400,714600,"wet",1985,"grassland",0,33,"NM",8,"GRP131",0,NA,NA,NA,NA,1,NA
"ID330","M","1984-08-15","KB","1989-08-19",NA,NA,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,4,"C",12,"GRP120",1,NA,NA,NA,4,NA,0
"ID331","F","1984-08-15","KB","1986-08-19",NA,NA,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,4,"C",12,"GRP120",1,NA,NA,NA,4,NA,0
"ID332","F","1984-08-15","KB","1996-08-12","D",25,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,4,"C",12,"GRP120",1,NA,NA,NA,4,NA,0
"ID371","F","1976-10-15","LL","1986-10-31",NA,NA,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,98,"AF",3,"GRP120",1,1,"NR",0,4,NA,0
"ID372","F","1976-10-15","LL","1987-12-05",NA,NA,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,98,"AF",3,"GRP120",1,0,"NR",NA,4,NA,0
"ID381","F","1977-03-15","LL","1990-01-15",NA,NA,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,93,"AF",3,"GRP120",1,0,"NR",NA,4,NA,0
"ID399","F","1977-06-15","LL","1994-05-31","D",20,1,"1984-11-15","18:00:00",9720200,721600,"wet",1985,"grassland",0,90,"AF",3,"GRP120",1,0,"NR",NA,4,NA,0
"ID248","M","1976-07-15","UNK","1987-10-02",NA,NA,1,"1984-11-15","11:30:00",9718000,723100,"wet",1985,"grassland",0,101,"RM",9,"GRP75",1,NA,NA,NA,4,2,2
"ID251","M","1976-07-15","UNK","1985-08-13",NA,NA,1,"1984-11-15","11:30:00",9718000,723100,"wet",1985,"grassland",0,101,"RM",9,"GRP75",1,NA,NA,NA,4,2,2
"ID1","M","1973-04-15","SWM","1987-04-04","D",6,1,"1984-11-15","07:25:00",9728200,712400,"wet",1985,"grassland",0,140,"RM",9,"GRP232",1,NA,NA,NA,6,3,0
"ID477","F","1979-08-15","LL","1993-07-29",NA,NA,1,"1984-11-15","07:25:00",9728200,712400,"wet",1985,"grassland",0,64,"AF",3,"GRP129",1,0,"NR",NA,6,NA,0
"ID3","M","1973-04-15","SWM","1985-04-01",NA,NA,1,"1984-11-15","07:35:00",9726600,711700,"wet",1985,"woodland",1,140,"RM",9,"GRP232",0,NA,NA,NA,6,3,0
"ID428","M","1982-12-15","LL","1985-12-25",NA,NA,1,"1984-11-15","07:35:00",9726600,711700,"wet",1985,"woodland",1,24,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID478","F","1979-08-15","LL","1991-11-17",NA,NA,1,"1984-11-15","07:35:00",9726600,711700,"wet",1985,"woodland",1,64,"AF",3,"GRP129",1,0,"NR",NA,6,NA,0
"ID435","M","1983-05-15","LL","1986-03-09",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,19,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID436","F","1983-08-15","LL","1993-06-25","D",19,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,16,"SA1",1,"GRP129",1,NA,NA,NA,6,NA,0
"ID437","M","1983-08-15","LL","1984-11-26",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,16,"SA1",1,"GRP129",0,NA,NA,NA,6,NA,0
"ID438","M","1983-08-15","LL","1986-12-13",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,16,"SA1",1,"GRP129",1,NA,NA,NA,6,NA,0
"ID475","F","1979-06-15","LL","1994-03-01",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"grassland",0,66,"AF",3,"GRP129",1,0,"NR",NA,6,NA,0
"ID476","F","1979-06-15","LL","1990-10-29",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,66,"AF",3,"GRP129",1,0,"NR",NA,6,NA,0
"ID483","F","1973-07-15","LL","1985-07-13",NA,NA,1,"1984-11-15","08:00:00",9727000,713200,"wet",1985,"woodland",1,137,"AF",3,"GRP129",0,NA,NA,NA,6,NA,0
"ID426","M","1982-12-15","LL","1985-08-01",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"grassland",0,24,"YM1",4,"GRP129",1,NA,NA,NA,6,NA,0
"ID427","M","1982-12-15","LL","1989-11-29","D*",12,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"grassland",0,24,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID429","F","1983-01-15","LL","1994-03-01","D",20,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,23,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID430","M","1983-01-15","LL","1985-12-25",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"grassland",0,23,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID431","F","1983-01-15","LL","1994-03-20","D",20,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,23,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID432","F","1983-03-15","LL","1988-03-25",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,21,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID433","M","1983-03-15","LL","1986-03-09",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,21,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID434","F","1983-03-15","LL","1993-12-04",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,21,"SA2",2,"GRP129",1,NA,NA,NA,6,NA,0
"ID482","F","1973-07-15","LL","1989-04-07",NA,NA,1,"1984-11-15","07:30:00",9729300,710600,"wet",1985,"woodland",1,137,"AF",3,"GRP129",1,0,"NR",NA,6,NA,0
"ID4","M","1973-04-15","SWM","1985-05-10",NA,NA,1,"1984-11-15","07:45:00",9725700,713800,"wet",1985,"woodland",1,140,"RM",9,"GRP232",0,NA,NA,NA,6,3,0
"ID649","F","1981-05-15","MS","1996-11-21",NA,NA,1,"1984-11-15","17:30:00",9722900,709000,"wet",1985,"grassland",0,43,"AF",3,"GRP152",1,1,"NR",NA,3,NA,0
"ID650","F","1981-02-15","MS","1997-12-05",NA,NA,1,"1984-11-15","17:30:00",9722900,709000,"wet",1985,"grassland",0,46,"AF",3,"GRP152",1,1,"NR",NA,3,NA,0
"ID675","F","1980-04-15","MS","1993-07-13",NA,NA,1,"1984-11-15","17:30:00",9722900,709000,"wet",1985,"grassland",0,56,"AF",3,"GRP152",1,0,"NR",NA,3,NA,0
"ID22","M","1978-01-15","UNK","1989-02-05",NA,NA,1,"1984-11-15","09:00:00",9720700,709900,"wet",1985,"grassland",0,83,"RM",9,"GRP30",1,NA,NA,NA,7,4,1
"ID24","M","1978-01-15","UNK","1990-08-21",NA,NA,1,"1984-11-15","09:10:00",9722700,709500,"wet",1985,"grassland",0,83,"RM",9,"GRP30",1,NA,NA,NA,7,4,1
"ID23","M","1978-01-15","UNK","1986-12-16",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,83,"RM",9,"GRP30",1,NA,NA,NA,7,4,1
"ID496","F","1973-06-15","MS","1988-07-30",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,138,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID502","F","1973-02-15","MS","1987-07-26","D",7,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,142,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID505","F","1973-06-15","MS","1987-10-16",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,138,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID580","F","1973-08-15","MS","1988-07-07",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,136,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID648","F","1973-08-15","MS","1990-08-06",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,136,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID651","M","1983-03-15","MS","1995-03-16","D",22,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,21,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID652","M","1983-03-15","MS","1988-07-29",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,21,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID653","M","1983-03-15","MS","1994-05-17",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,21,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID654","M","1983-03-15","MS","1995-01-10",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,21,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID655","F","1983-06-15","MS","1985-12-09",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,18,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID656","M","1983-06-15","MS","1991-12-30",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,18,"SA2",2,"GRP164",1,NA,NA,NA,7,NA,0
"ID657","F","1983-08-15","MS","1994-01-02",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"woodland",1,16,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID658","F","1983-08-15","MS","1994-01-08",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"woodland",1,16,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID659","F","1983-08-15","MS","1994-07-05",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,16,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID660","M","1983-08-15","MS","1989-01-17",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,16,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID661","M","1983-08-15","MS","1988-05-07",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,16,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID662","M","1983-09-15","MS","1988-05-07",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,15,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID663","F","1983-09-15","MS","1985-10-06","D*",3,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,15,"SA1",1,"GRP164",1,NA,NA,NA,7,NA,0
"ID664","F","1984-01-15","MS","1989-01-27",NA,NA,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,11,"J",12,"GRP164",1,NA,NA,NA,7,NA,0
"ID677","F","1973-02-15","MS","1985-09-06","D*",3,1,"1984-11-15","17:40:00",9723000,706100,"wet",1985,"grassland",0,142,"AF",3,"GRP164",1,0,"NR",NA,7,NA,0
"ID21","M","1978-01-15","UNK","1987-11-06",NA,NA,1,"1984-11-15","08:50:00",9722800,709300,"wet",1985,"grassland",0,83,"RM",9,"GRP30",1,NA,NA,NA,7,4,1
"ID507","F","1973-02-15","MS","1987-10-16",NA,NA,1,"1984-11-15","06:20:00",9725600,704400,"wet",1985,"grassland",0,142,"AF",3,"GRP164",1,1,"NR",0,7,NA,0
"ID499","F","1976-02-15","MS","1988-06-30","D",9,1,"1984-11-15","09:00:00",9722500,709000,"wet",1985,"grassland",0,106,"AF",3,"GRP166",1,0,"NR",NA,2,NA,0
"ID503","F","1976-09-15","MS","1988-04-05",NA,NA,1,"1984-11-15","09:00:00",9722500,709000,"wet",1985,"grassland",0,99,"AF",3,"GRP166",1,1,"NR",0,2,NA,0
"ID581","M","1979-07-15","UNK","1985-10-22",NA,NA,1,"1984-11-15","17:50:00",9686500,712100,"wet",1985,"grassland",0,65,"NM",8,"GRP151",1,NA,NA,NA,NA,2,NA
"ID790","M","1976-07-15","UNK","1991-01-22",NA,NA,1,"1984-11-15","17:50:00",9686500,712100,"wet",1985,"grassland",0,101,"NM",8,"GRP151",1,NA,NA,NA,NA,2,NA
"ID254","M","1980-01-15","UNK","1986-10-19",NA,NA,1,"1984-11-15","08:00:00",9720300,707700,"wet",1985,"grassland",0,59,"NM",8,"GRP79",1,NA,NA,NA,NA,1,NA
"ID1270","M","1980-03-15","UNK","1992-04-14",NA,NA,1,"1984-11-15","18:15:00",9710800,710000,"wet",1985,"grassland",0,57,"NM",8,"GRP286",1,NA,NA,NA,NA,1,NA
"ID676","M","1980-09-15","MS","1988-01-30",NA,NA,1,"1984-11-15","08:05:00",9717400,714600,"wet",1985,"grassland",0,51,"NM",8,"GRP165",1,NA,NA,NA,NA,1,NA
"ID874","M","1983-01-15","UNK","1987-05-12",NA,NA,1,"1984-11-15",NA,9701900,727300,"wet",1985,"grassland",0,23,"NM",8,"GRP201",1,NA,NA,NA,NA,1,NA
"ID872","M","1974-07-15","UNK","1985-04-03",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,125,"RM",9,"GRP219",0,NA,NA,NA,2,3,0
"ID958","M","1974-07-15","UNK","1987-02-21","D",6,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,125,"RM",9,"GRP219",1,NA,NA,NA,2,3,0
"ID1064","M","1974-07-15","UNK","1986-12-31",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,125,"RM",9,"GRP219",1,NA,NA,NA,2,3,0
"ID702","F","1981-07-15","NW","1994-05-21",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,41,"AF",3,"GRP185",1,1,"NR",NA,2,NA,0
"ID735","F","1970-02-15","CS","1987-02-13",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,178,"AF",3,"GRP185",1,0,"NR",NA,2,NA,0
"ID738","M","1983-01-15","NW","1987-02-21",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,23,"SA2",2,"GRP185",1,NA,NA,NA,2,NA,0
"ID739","M","1984-01-15","NW","1987-02-21",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,11,"J",12,"GRP185",1,NA,NA,NA,2,NA,0
"ID740","M","1984-01-15","NW","1987-02-21",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,11,"J",12,"GRP185",1,NA,NA,NA,2,NA,0
"ID741","M","1984-06-15","NW","1987-02-21",NA,NA,1,"1984-11-15","16:06:00",9731900,711500,"wet",1985,"woodland",1,6,"J",12,"GRP185",1,NA,NA,NA,2,NA,0
"ID703","M","1978-07-15","UNK","1985-09-03",NA,NA,1,"1984-11-15","08:47:00",9713300,709800,"wet",1985,"grassland",0,77,"RM",9,"GRP174",1,NA,NA,NA,7,3,0
"ID792","M","1978-07-15","UNK","1990-04-05",NA,NA,1,"1984-11-15","08:47:00",9713300,709800,"wet",1985,"grassland",0,77,"RM",9,"GRP174",1,NA,NA,NA,7,3,0
