"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM","BM"
"UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2","UK1&2"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10","CS10"
NA,"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
NA,"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
NA,"CS","CS","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3"
"CS","CS","CS","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14","CS14"
NA,"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
NA,"CS","CS","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3","C3"
NA,NA,NA,NA,NA,"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS","CS"
"CS","CS","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2","C2"
"DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG"
"DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG","DOUBLE-GOYCH,GOYCH&ORANG"
